cd_cliente,qtd_contratacoes_12m,vlr_contratacoes_12m
T05723,3,18373.1225769307
T03510,1,97.2646479215595
T01134,1,476.137293205328
T05513,1,29073.33946279
T12552,1,4339.9656579209
T03062,7,139347.610130705
T03120,5,127205.125451345
T05606,3,126.422602625451
T06178,1,0.00420385736791976
T04247,4,11154.5277516104
T03133,2,32120.2364290551
T17941,10,286349.406175622
T02553,2,5841.4700055929
T04251,5,118459.807338003
T02810,1,14906.7521109224
T03000,1,41.3743642150663
T04396,1,1243.27820499017
T07413,1,28309.8012567694
T08043,4,17189.4929041339
T01127,1,4171.19339617102
T05409,1,3548.9300208568
T03455,1,34.1395256848764
T01667,3,3352.04236103028
T09408,1,0.00420385736791976
T02266,2,0.00840771473583952
T03306,3,51209.465089324
T04819,5,15449.4238546898
T13640,1,0.00420385736791976
T07677,1,0.00420385736791976
T05690,3,6371.36202296182
T15034,1,0.00420385736791976
T06682,4,12612.425486805
T02145,3,6796.28372185378
T07589,3,4243.17184202455
T03439,1,0.588540031508766
T08909,1,605.95240872669
T07300,1,1884.11001829849
T07673,2,0.00840771473583952
T08807,1,74795.4548796225
T07073,1,564.750402663709
T09170,1,46077.1690062697
T03154,2,0.00840771473583952
T05615,1,5343.3927807844
T08115,1,0.00420385736791976
T03193,1,8244.35704237953
T01436,1,38667.7484834474
T03386,1,39.0664465200783
T04083,1,6300.33785273082
T08886,1,813.904621145577
T05034,2,29777.0357591782
T10391,2,0.016815429471679
T04586,1,0.00420385736791976
T05154,2,131660.781264031
T14189,24,229251.186093031
T08976,2,3651.40324805722
T14228,3,82.8706402938022
T15225,2,0.00840771473583952
T12450,2,374.017190023821
T07947,2,25336.072427993
T14081,9,142917.071790947
T06381,3,5693.46900309792
T06619,2,2303.60874118583
T01351,2,6144.00900878998
T06816,3,883.070686419961
T49030,1,1443.4532812784
T07244,3,63586.0667893608
T05967,3,752.704865583401
T05720,2,3453.25863487769
T16333,2,63018.7688491321
T06552,3,5123.06441227436
T03456,1,559.104622218592
T26845,3,8703.27113194849
T02904,1,5015.21865535775
T05114,1,191.077928944057
T08223,3,9826.63010166137
T06016,3,32518.1399366434
T05914,2,64.8234806133227
T08383,1,14014.1765029936
T10413,3,42253.2983058362
T06684,1,6546.47790547989
T07402,1,98.0045268183134
T03752,1,221.341498135711
T03969,1,0.00840771473583952
T11933,7,311633.350772253
T03581,1,598.570435188623
T05691,4,45755.7378680612
T10661,1,373.55476571335
