icliente,mrr12m
T02860,572.999222
T03372,332.709919
T07544,723.829343
T02684,10496.311686
T05174,721.547769
T02029,638.658068
T03644,24.330291
T03309,730.343261
T06358,327.086038
T10869,64.654565
T03638,677.430895
T07174,271.665244
T05395,975.7557
T06336,228.792686
T06381,287.623313
T03485,283.151781
T01351,613.506632
T05513,624.690727
T06731,327.303326
T02655,288.263849
T03356,1292.152951
T02312,540.210049
T03315,438.185192
T05793,388.412904
T03133,1906.855303
T06200,927.362079
T02904,1006.300741
T03993,796.673184
T03655,103.584464
T02984,54.392028
T04506,462.972283
T04398,651.417913
T07880,107.910541
T01743,106.835654
T05409,963.06105
T01702,1839.326325
T03969,1624.130745
T04366,346.236471
T03581,244.002065
T05691,2127.416124
T04630,64.340569
T06468,1419.897082
T06914,1153.269246
T05690,898.472459
T08298,183.169658
T06682,1215.416905
T03585,199.977403
T03960,505.977473
T03439,458.983156
T08909,3116.041509
T06435,307.879121
T07614,380.053203
T05787,536.068391
T01877,506.993255
T02500,207.838492
T07457,1071.254709
T03558,3171.201064
T04488,47.619355
T03193,860.23049
T02202,121.749774
T03386,1250.800341
T04083,158.177113
T07684,1356.163505
T05034,4266.373829
T07446,1569.235095
T03067,3926.240395
T05154,800.271702
T09845,346.789452
T06375,80.095193
T11157,79.334895
T05303,379.061495
T11561,294.82781
T06583,2715.514696
T11287,509.619771
T07890,118.153896
T03510,455.093402
T01726,366.438964
T05958,572.337718
T07422,156.577444
T03062,6048.065861
T04325,176.396175
T05606,345.844748
T05797,590.041508
T06552,1067.148792
T03456,819.435579
T06574,915.250781
T05748,1677.614162
T04065,1406.41316
T04404,426.1583
T03000,212.161352
T05914,517.739801
T05762,213.500391
T08043,1106.778427
T06684,1291.350045
T05512,1889.89936
T02069,397.225325
T11677,1049.093625
T07061,307.057826
T05251,103.347551
T07372,111.114706
T04819,1254.596245
T10402,320.277098
T07483,1574.639723
T05830,611.093535
T13864,236.054796
T07049,2481.840507
T05621,202.897568
T05077,361.64621
T03718,554.396382
T13023,496.114139
T07300,2977.238949
T07673,955.309566
T07396,235.507684
T06575,580.543324
T03314,1784.897681
T07800,1112.605896
T05357,1460.490254
T05816,364.15728
T04411,1439.537454
T02724,651.457246
T05661,327.8747
T06486,250.486442
T08886,358.81644
T06638,1325.208108
T09656,347.597781
T03116,1245.534781
T07542,1378.524704
T10084,332.245492
T07616,131.560136
T14228,2148.410587
T07389,373.077082
T12230,466.758852
T07947,265.692178
T12395,307.941318
T08492,1248.323954
T06619,1080.353838
T02250,768.28733
T06253,243.573689
T10703,787.499431
T03198,885.552622
T04367,239.963939
T05704,305.864636
T06178,1135.435766
T09105,68.917316
T04205,649.317119
T07562,1005.444165
T06209,494.157926
T04251,1888.844656
T06187,2110.675948
T04491,596.596303
T11161,135.935261
T07413,527.376554
T09755,325.972604
T08881,660.161036
T06096,254.893453
T02072,1932.377332
T12221,888.458279
T07621,426.481846
T06008,392.108903
T08938,213.159498
T06883,1749.566422
T13640,182.39426
T07677,2497.902765
T09519,74.165802
T14450,79.001996
T07726,269.911209
T06131,2328.550506
T07589,362.236046
T03753,224.816035
T14847,95.615834
T07654,414.073194
T10110,244.846285
T08807,1007.142455
T07073,561.827561
T03799,1262.63032
T09969,153.289367
T05500,3501.197622
T05995,810.354633
T04851,722.319722
T03231,296.840043
T05953,486.963531
T07602,487.860704
T09163,1503.8952
T10982,176.047787
T10022,122.932793
T04586,331.19297
T11293,305.290645
T10199,101.821952
T07762,5480.681093
T16579,725.794273
T07678,277.886081
T12450,1611.828495
T09624,1919.196112
T14081,1697.648705
T08822,804.182855
T07742,1413.931842
T03201,192.353314
T06816,303.545206
T12552,137.888569
T07244,346.502943
T05967,1855.977269
T05720,4373.632183
T08292,823.132959
T11510,490.25868
T06925,215.139116
T07810,193.40344
T11026,484.997072
T04876,501.487522
T08223,2807.96698
T04859,534.318501
T11906,694.827874
T08383,1089.614938
T10413,964.736423
T13852,954.694212
T07402,116.85153
T03450,307.827296
T13777,573.267717
T09408,1052.952313
T06148,1598.695728
T09724,307.255086
T07884,1930.946701
T14535,106.370828
T08138,195.445067
T12864,1329.144093
T15003,1176.847949
T10570,1153.389302
T07650,288.641263
T08225,725.559557
T04467,420.736557
T15560,966.995847
T08245,1316.396791
T10952,601.33486
T09248,628.577569
T07748,178.764007
T03882,594.020729
T15169,894.636467
T05615,305.170724
T08115,1197.465467
T07537,1192.458824
T05273,2054.004067
T06610,466.874578
T07781,270.930581
T10247,433.626911
T12377,997.449904
T10391,243.868147
T08855,2848.19518
T11855,2215.789713
T10881,547.479896
T07984,843.551207
T16751,2235.927783
T08391,324.17335
T13629,1936.907686
T09633,5338.889474
T15561,251.182651
T09487,184.620425
T10765,450.329335
T03367,1327.811645
T07849,821.884715
T16268,379.139677
T08322,580.741275
T06525,549.485776
T06425,583.00953
T14319,80.524055
T12562,773.812273
T08946,2444.295723
T08930,59.822992
T12276,243.225378
T05114,810.781292
T09450,1857.871041
T05563,156.7593
T14390,623.199068
T11527,210.461591
T10494,1242.905939
T13935,1119.679339
T09502,200.91378
T03455,207.223473
T14861,194.575947
T11933,5236.27098
T06961,746.270349
T09869,209.825954
T10661,151.048836
T16447,140.750494
T10010,399.302457
T14072,543.262709
T15034,751.73912
T12416,264.720781
T09190,1743.110747
T08368,473.608825
T05238,642.466613
T15780,457.370639
T09188,360.045799
T11432,185.33837
T10145,1643.145486
T08111,516.946776
T09170,5301.525422
T16649,1672.419875
T09129,2116.107506
T09935,879.211734
T09068,367.415193
T06449,1727.310024
T08810,2750.016837
T07784,1188.36446
T10406,663.712207
T13019,230.547089
T13485,2660.590143
T09978,190.877971
T14119,8727.535453
T12096,2084.915866
T08976,525.330117
T21308,752.162789
T08539,619.7566
T14439,301.767211
T12016,1161.002978
T15633,286.992864
T10731,1569.093966
T14705,257.75143
T06341,674.110448
T08085,1092.17555
T19328,340.90576
T11454,2536.68846
T07499,822.136934
T10680,636.018782
T16167,301.878396
T13857,166.563555
T09514,1102.75413
T10159,320.639538
T16588,606.877991
T05948,872.33925
